gene	loeuf	pli
MED13	0.03	1.0
NIPBL	0.032	1.0
SMC3	0.037	1.0
CNOT1	0.038	1.0
RLF	0.04	1.0
PCF11	0.04	1.0
FNDC3B	0.042	1.0
TAF1	0.043	1.0
RSF1	0.044	1.0
NCKAP1	0.044	1.0
KDM2A	0.045	1.0
BRD4	0.048	1.0
HELZ	0.048	1.0
FBN1	0.049	1.0
XPO1	0.051	1.0
PRR12	0.051	1.0
USP9X	0.051	1.0
POLA1	0.051	1.0
SYNGAP1	0.052	1.0
PRKDC	0.052	1.0
HDAC4	0.052	1.0
SMG1	0.053	1.0
ZC3H4	0.054	1.0
COL5A1	0.055	1.0
SMARCA4	0.055	1.0
TNPO1	0.056	1.0
AGO1	0.057	1.0
ARHGAP35	0.057	1.0
LRP1	0.058	1.0
TOP1	0.059	1.0
TRIP12	0.06	1.0
KMT2E	0.06	1.0
HCFC1	0.06	1.0
UBTF	0.06	1.0
HUWE1	0.06	1.0
KDM3B	0.06	1.0
TRRAP	0.06	1.0
GRIN2B	0.061	1.0
USP7	0.061	1.0
ATP1A3	0.062	1.0
ASH1L	0.062	1.0
ANKRD17	0.062	1.0
SMC1A	0.062	1.0
NPEPPS	0.062	1.0
CHERP	0.062	1.0
MED13L	0.064	1.0
RPRD2	0.064	1.0
KMT2A	0.065	1.0
CREBBP	0.066	1.0
SF3B1	0.066	1.0
EIF3B	0.067	1.0
PPFIA1	0.067	1.0
ZSWIM6	0.067	1.0
PRPF3	0.068	1.0
KAT6A	0.069	1.0
KMT2B	0.07	1.0
SIN3A	0.07	1.0
CHD2	0.07	1.0
ARID1A	0.071	1.0
GLTSCR1L	0.071	1.0
SCN1A	0.071	1.0
MED12	0.071	1.0
TJP1	0.071	1.0
SPEN	0.071	1.0
WDFY3	0.071	1.0
HDAC6	0.072	1.0
EHMT1	0.072	1.0
JMJD1C	0.072	1.0
MAP3K12	0.072	1.0
GGNBP2	0.073	1.0
CASK	0.073	1.0
TLE3	0.073	1.0
CHD6	0.073	1.0
UBR5	0.073	1.0
EIF4G1	0.074	1.0
NBEA	0.074	1.0
SMARCA5	0.074	1.0
TSC2	0.074	1.0
SUPT5H	0.074	1.0
GREB1L	0.075	1.0
PTCH1	0.075	1.0
CHD7	0.076	1.0
RAD54L2	0.076	1.0
CNOT3	0.076	1.0
AHDC1	0.076	1.0
U2SURP	0.077	1.0
RBM25	0.077	1.0
GIGYF2	0.077	1.0
MBTD1	0.077	1.0
DCAF5	0.078	1.0
SUV420H1	0.078	1.0
RABGAP1	0.078	1.0
KHSRP	0.078	1.0
TM9SF2	0.079	1.0
MATR3	0.079	1.0
PHF21A	0.08	1.0
NAV1	0.08	1.0
HIVEP2	0.08	1.0
OGT	0.08	1.0
RBBP6	0.08	1.0
GTPBP4	0.08	1.0
MYBL1	0.08	1.0
TEX11	0.08	1.0
DYNC1H1	0.08	1.0
SBNO1	0.081	1.0
THOC2	0.081	1.0
PRKCB	0.081	1.0
INO80	0.081	1.0
TAF4	0.081	1.0
FLNA	0.082	1.0
TRIM28	0.082	1.0
CHD8	0.082	1.0
RBM33	0.082	1.0
SNRNP200	0.082	1.0
XPO6	0.082	1.0
SMARCAD1	0.083	1.0
FRMPD4	0.083	1.0
MACF1	0.084	1.0
WAC	0.084	1.0
BRWD3	0.084	1.0
C17orf104	0.084	1.0
ATP2B1	0.084	1.0
EIF4G2	0.085	1.0
ZNF462	0.085	1.0
WDR26	0.085	1.0
CUL4B	0.085	1.0
TRIM33	0.086	1.0
STXBP1	0.086	1.0
TOPBP1	0.086	1.0
NF2	0.086	1.0
TET3	0.086	1.0
MN1	0.087	0.99999
SUPT6H	0.087	1.0
RP11-762I7.5	0.087	1.0
NHS	0.087	0.99999
RPS6KA3	0.087	0.99999
MYT1L	0.087	1.0
UBP1	0.088	0.99999
PLCL2	0.088	0.99999
SPTBN1	0.088	1.0
MYH9	0.088	1.0
ZDHHC5	0.088	0.99999
LUC7L3	0.089	0.99999
COPB2	0.089	1.0
DNAJC14	0.089	0.99999
RNF17	0.089	1.0
ANK3	0.089	1.0
F8	0.089	1.0
TM9SF3	0.09	0.99999
DLG3	0.09	0.99999
MGA	0.09	1.0
ANKRD52	0.09	1.0
STAG2	0.09	1.0
SATB2	0.091	0.99999
USP34	0.091	1.0
MAP3K2	0.091	0.99999
PREX1	0.091	1.0
MED14	0.092	1.0
CYFIP2	0.092	1.0
ZNF407	0.092	1.0
KPNB1	0.092	1.0
ETV5	0.092	0.99999
CUL2	0.093	1.0
HNRNPM	0.093	0.99999
PIAS1	0.094	0.99999
DAAM2	0.094	1.0
EFTUD2	0.094	1.0
YTHDC1	0.094	1.0
NCBP1	0.094	1.0
TCF20	0.095	1.0
DLL1	0.095	0.99999
UBR4	0.095	1.0
STAT3	0.095	1.0
IGF2BP3	0.095	0.99999
NSD1	0.095	1.0
SRCAP	0.096	1.0
ZNF777	0.096	0.99998
HNRNPK	0.096	0.99998
SCAF8	0.096	1.0
ARID2	0.096	1.0
CCT3	0.097	0.99998
COL5A2	0.097	1.0
PHC3	0.097	1.0
GATAD2B	0.097	0.99998
FBXO11	0.097	1.0
NOTCH1	0.097	1.0
COL3A1	0.098	1.0
PPP3CB	0.098	0.99998
ILF3	0.098	1.0
PLEKHA5	0.098	1.0
ZNF521	0.098	1.0
TAB2	0.098	0.99998
CTNND2	0.098	1.0
DDX5	0.098	0.99998
ACTN4	0.099	1.0
UPF2	0.099	1.0
CARM1	0.099	0.99998
PAXIP1	0.099	1.0
BPTF	0.099	1.0
EP300	0.099	1.0
FBXL19	0.1	0.99997
